review_id=R000001 | customer_id=C008526 | product_id=P01279 | product=toy set | date=2024-09-07 | rating=3/5 | sentiment=Neutral | review=Decent product but the packaging could be better.
review_id=R000029 | customer_id=C005987 | product_id=P00272 | product=jacket | date=2022-10-12 | rating=1/5 | sentiment=Negative | review=Very disappointed. Item was missing components.
review_id=R000030 | customer_id=C008683 | product_id=P01957 | product=laptop | date=2022-06-14 | rating=3/5 | sentiment=Neutral | review=Product is okay. Nothing special but does the job.
review_id=R000031 | customer_id=C003809 | product_id=P00540 | product=laptop | date=2023-10-13 | rating=2/5 | sentiment=Negative | review=Poor build quality. Expected much better at this price.
review_id=R000032 | customer_id=C004429 | product_id=P00710 | product=blender | date=2024-11-05 | rating=2/5 | sentiment=Negative | review=Product stopped working after two weeks. Disappointing.
review_id=R000033 | customer_id=C002884 | product_id=P01971 | product=blender | date=2022-07-03 | rating=3/5 | sentiment=Neutral | review=Average quality. Delivery took longer than expected.
review_id=R000034 | customer_id=C004978 | product_id=P00825 | product=headphones | date=2023-05-18 | rating=3/5 | sentiment=Neutral | review=Decent product but the packaging could be better.
review_id=R000035 | customer_id=C009723 | product_id=P00251 | product=novel | date=2024-03-13 | rating=3/5 | sentiment=Neutral | review=It arrived on time. Product is functional if basic.
review_id=R000036 | customer_id=C005012 | product_id=P00133 | product=laptop | date=2024-01-02 | rating=2/5 | sentiment=Negative | review=Quality does not match the product images at all.
review_id=R000037 | customer_id=C003513 | product_id=P00290 | product=toy set | date=2023-08-04 | rating=2/5 | sentiment=Negative | review=Had to return the item. Process was a hassle.
review_id=R000038 | customer_id=C005498 | product_id=P01318 | product=toy set | date=2024-04-06 | rating=5/5 | sentiment=Positive | review=Great value for money. Will definitely buy again.
review_id=R000039 | customer_id=C004064 | product_id=P00695 | product=skincare kit | date=2023-04-20 | rating=2/5 | sentiment=Negative | review=Had to return the item. Process was a hassle.
review_id=R000040 | customer_id=C006660 | product_id=P01395 | product=jacket | date=2024-09-02 | rating=1/5 | sentiment=Negative | review=Terrible experience. Took 3 weeks and arrived damaged.
review_id=R000041 | customer_id=C000235 | product_id=P00168 | product=toy set | date=2022-12-08 | rating=3/5 | sentiment=Neutral | review=Reasonable quality. Neutral about overall experience.
review_id=R000042 | customer_id=C002199 | product_id=P00286 | product=jacket | date=2023-03-15 | rating=3/5 | sentiment=Neutral | review=Good enough for the price. Would consider buying again.
review_id=R000043 | customer_id=C008492 | product_id=P00587 | product=skincare kit | date=2022-09-17 | rating=3/5 | sentiment=Neutral | review=Mixed feelings. Product is fine but instructions unclear.
review_id=R000044 | customer_id=C008674 | product_id=P00180 | product=headphones | date=2022-03-25 | rating=1/5 | sentiment=Negative | review=Had to return the item. Process was a hassle.
review_id=R000045 | customer_id=C001422 | product_id=P01093 | product=trainers | date=2024-02-15 | rating=3/5 | sentiment=Neutral | review=Good enough for the price. Would consider buying again.
review_id=R000046 | customer_id=C003618 | product_id=P01329 | product=toy set | date=2022-10-18 | rating=3/5 | sentiment=Neutral | review=It arrived on time. Product is functional if basic.
review_id=R000047 | customer_id=C008972 | product_id=P01961 | product=skincare kit | date=2023-12-21 | rating=1/5 | sentiment=Negative | review=Poor build quality. Expected much better at this price.
review_id=R000048 | customer_id=C006116 | product_id=P01247 | product=trainers | date=2023-04-23 | rating=2/5 | sentiment=Negative | review=Product stopped working after two weeks. Disappointing.
review_id=R000049 | customer_id=C008014 | product_id=P00793 | product=jacket | date=2023-10-18 | rating=1/5 | sentiment=Negative | review=Delivery was extremely late. Customer service unhelpful.
review_id=R000050 | customer_id=C001014 | product_id=P01782 | product=jacket | date=2023-12-03 | rating=4/5 | sentiment=Positive | review=Exactly what I needed. Amazing quality for the price.
review_id=R000051 | customer_id=C003264 | product_id=P00934 | product=coffee maker | date=2023-04-24 | rating=3/5 | sentiment=Neutral | review=Reasonable quality. Neutral about overall experience.
review_id=R000052 | customer_id=C003717 | product_id=P00359 | product=toy set | date=2023-10-09 | rating=3/5 | sentiment=Neutral | review=Decent product but the packaging could be better.
review_id=R000053 | customer_id=C006493 | product_id=P00589 | product=laptop | date=2023-06-09 | rating=2/5 | sentiment=Negative | review=Delivery was extremely late. Customer service unhelpful.
review_id=R000054 | customer_id=C009303 | product_id=P00578 | product=trainers | date=2022-07-17 | rating=2/5 | sentiment=Negative | review=Had to return the item. Process was a hassle.
review_id=R000055 | customer_id=C009478 | product_id=P01195 | product=novel | date=2022-12-23 | rating=4/5 | sentiment=Positive | review=Very happy with my purchase. Top quality.
review_id=R000056 | customer_id=C009106 | product_id=P01045 | product=blender | date=2022-01-31 | rating=3/5 | sentiment=Neutral | review=It arrived on time. Product is functional if basic.
review_id=R000057 | customer_id=C000799 | product_id=P00493 | product=skincare kit | date=2024-04-29 | rating=2/5 | sentiment=Negative | review=Quality does not match the product images at all.
review_id=R000058 | customer_id=C004174 | product_id=P01912 | product=headphones | date=2024-03-14 | rating=2/5 | sentiment=Negative | review=Had to return the item. Process was a hassle.
review_id=R000059 | customer_id=C001557 | product_id=P01908 | product=jacket | date=2022-04-24 | rating=2/5 | sentiment=Negative | review=Delivery was extremely late. Customer service unhelpful.
review_id=R000060 | customer_id=C004135 | product_id=P01919 | product=watch | date=2022-09-14 | rating=5/5 | sentiment=Positive | review=Product quality is excellent and delivery was fast.
review_id=R000061 | customer_id=C007068 | product_id=P00813 | product=trainers | date=2023-02-28 | rating=2/5 | sentiment=Negative | review=Poor build quality. Expected much better at this price.
review_id=R000062 | customer_id=C000489 | product_id=P00463 | product=blender | date=2023-01-12 | rating=4/5 | sentiment=Positive | review=Very happy with my purchase. Top quality.
review_id=R000063 | customer_id=C000476 | product_id=P01400 | product=blender | date=2024-09-16 | rating=5/5 | sentiment=Positive | review=Absolutely love this item. Exceeded my expectations.
review_id=R000064 | customer_id=C004539 | product_id=P01030 | product=toy set | date=2022-06-12 | rating=2/5 | sentiment=Negative | review=Poor build quality. Expected much better at this price.
review_id=R000065 | customer_id=C004357 | product_id=P00107 | product=coffee maker | date=2022-05-28 | rating=5/5 | sentiment=Positive | review=Arrived ahead of schedule and in perfect condition.
review_id=R000066 | customer_id=C006902 | product_id=P00307 | product=watch | date=2023-07-11 | rating=5/5 | sentiment=Positive | review=Very happy with my purchase. Top quality.
review_id=R000067 | customer_id=C009125 | product_id=P01397 | product=laptop | date=2023-10-16 | rating=5/5 | sentiment=Positive | review=Absolutely love this item. Exceeded my expectations.
review_id=R000068 | customer_id=C004425 | product_id=P00420 | product=headphones | date=2023-08-03 | rating=3/5 | sentiment=Neutral | review=Reasonable quality. Neutral about overall experience.
review_id=R000069 | customer_id=C001227 | product_id=P01979 | product=watch | date=2022-06-23 | rating=3/5 | sentiment=Neutral | review=Reasonable quality. Neutral about overall experience.
review_id=R000070 | customer_id=C002553 | product_id=P01939 | product=skincare kit | date=2024-08-09 | rating=3/5 | sentiment=Neutral | review=Good enough for the price. Would consider buying again.
review_id=R000071 | customer_id=C001364 | product_id=P00959 | product=skincare kit | date=2024-10-05 | rating=5/5 | sentiment=Positive | review=Outstanding customer service. Highly recommend.
review_id=R000072 | customer_id=C000716 | product_id=P00779 | product=watch | date=2022-07-16 | rating=4/5 | sentiment=Positive | review=Fast shipping and product exactly as described.
review_id=R000073 | customer_id=C007975 | product_id=P01099 | product=blender | date=2022-04-10 | rating=5/5 | sentiment=Positive | review=Absolutely love this item. Exceeded my expectations.
review_id=R000074 | customer_id=C001804 | product_id=P00710 | product=trainers | date=2024-02-26 | rating=5/5 | sentiment=Positive | review=Very happy with my purchase. Top quality.
review_id=R000075 | customer_id=C009027 | product_id=P01849 | product=skincare kit | date=2024-02-05 | rating=5/5 | sentiment=Positive | review=Product quality is excellent and delivery was fast.
review_id=R000076 | customer_id=C007573 | product_id=P01579 | product=trainers | date=2023-01-01 | rating=4/5 | sentiment=Positive | review=Absolutely love this item. Exceeded my expectations.
review_id=R000077 | customer_id=C001313 | product_id=P01535 | product=watch | date=2023-06-20 | rating=2/5 | sentiment=Negative | review=Product stopped working after two weeks. Disappointing.
review_id=R000078 | customer_id=C003771 | product_id=P01045 | product=toy set | date=2022-10-17 | rating=4/5 | sentiment=Positive | review=Five stars. Brilliant product and super quick delivery.
review_id=R000079 | customer_id=C006023 | product_id=P01712 | product=toy set | date=2024-07-26 | rating=3/5 | sentiment=Neutral | review=Good enough for the price. Would consider buying again.
review_id=R000080 | customer_id=C008218 | product_id=P00280 | product=toy set | date=2022-04-17 | rating=4/5 | sentiment=Positive | review=Great value for money. Will definitely buy again.
review_id=R000081 | customer_id=C002985 | product_id=P01659 | product=trainers | date=2024-10-08 | rating=2/5 | sentiment=Negative | review=Very disappointed. Item was missing components.
review_id=R000082 | customer_id=C007571 | product_id=P00760 | product=novel | date=2023-08-29 | rating=4/5 | sentiment=Positive | review=Five stars. Brilliant product and super quick delivery.
review_id=R000083 | customer_id=C002260 | product_id=P00174 | product=headphones | date=2022-07-28 | rating=2/5 | sentiment=Negative | review=Had to return the item. Process was a hassle.
review_id=R000084 | customer_id=C003122 | product_id=P01073 | product=toy set | date=2024-12-21 | rating=5/5 | sentiment=Positive | review=Arrived ahead of schedule and in perfect condition.
review_id=R000085 | customer_id=C004001 | product_id=P01622 | product=jacket | date=2022-11-07 | rating=3/5 | sentiment=Neutral | review=Decent product but the packaging could be better.
review_id=R000086 | customer_id=C009679 | product_id=P01431 | product=skincare kit | date=2024-05-11 | rating=3/5 | sentiment=Neutral | review=Decent product but the packaging could be better.
review_id=R000087 | customer_id=C002258 | product_id=P01674 | product=coffee maker | date=2023-02-28 | rating=2/5 | sentiment=Negative | review=Terrible experience. Took 3 weeks and arrived damaged.
review_id=R000088 | customer_id=C002489 | product_id=P01875 | product=novel | date=2022-05-31 | rating=4/5 | sentiment=Positive | review=Fast shipping and product exactly as described.
review_id=R000089 | customer_id=C001956 | product_id=P01290 | product=skincare kit | date=2022-01-09 | rating=3/5 | sentiment=Neutral | review=Average quality. Delivery took longer than expected.
review_id=R000090 | customer_id=C005318 | product_id=P01602 | product=watch | date=2022-01-28 | rating=1/5 | sentiment=Negative | review=Would not recommend. Product broke on first use.
review_id=R000091 | customer_id=C006505 | product_id=P01697 | product=laptop | date=2023-06-29 | rating=5/5 | sentiment=Positive | review=Five stars. Brilliant product and super quick delivery.
review_id=R000092 | customer_id=C001261 | product_id=P00368 | product=novel | date=2023-08-16 | rating=2/5 | sentiment=Negative | review=Delivery was extremely late. Customer service unhelpful.
review_id=R000093 | customer_id=C009026 | product_id=P00596 | product=jacket | date=2023-04-03 | rating=5/5 | sentiment=Positive | review=Absolutely love this item. Exceeded my expectations.
review_id=R000094 | customer_id=C009143 | product_id=P01541 | product=novel | date=2022-07-01 | rating=1/5 | sentiment=Negative | review=Very disappointed. Item was missing components.
review_id=R000095 | customer_id=C008921 | product_id=P00972 | product=skincare kit | date=2024-06-01 | rating=4/5 | sentiment=Positive | review=Packaging was perfect and the item works flawlessly.
review_id=R000096 | customer_id=C004309 | product_id=P01153 | product=coffee maker | date=2023-09-18 | rating=3/5 | sentiment=Neutral | review=Decent product but the packaging could be better.
review_id=R000097 | customer_id=C000745 | product_id=P00538 | product=laptop | date=2023-02-01 | rating=3/5 | sentiment=Neutral | review=Reasonable quality. Neutral about overall experience.
review_id=R000098 | customer_id=C001037 | product_id=P00385 | product=skincare kit | date=2022-09-07 | rating=2/5 | sentiment=Negative | review=Would not recommend. Product broke on first use.
review_id=R000099 | customer_id=C005663 | product_id=P00173 | product=toy set | date=2022-12-02 | rating=5/5 | sentiment=Positive | review=Great value for money. Will definitely buy again.
review_id=R000100 | customer_id=C003571 | product_id=P01413 | product=headphones | date=2024-11-08 | rating=1/5 | sentiment=Negative | review=Terrible experience. Took 3 weeks and arrived damaged.
review_id=R000101 | customer_id=C002334 | product_id=P00237 | product=blender | date=2024-02-01 | rating=4/5 | sentiment=Positive | review=Product quality is excellent and delivery was fast.
review_id=R000102 | customer_id=C002752 | product_id=P01750 | product=watch | date=2024-07-29 | rating=5/5 | sentiment=Positive | review=Great value for money. Will definitely buy again.
review_id=R000103 | customer_id=C004753 | product_id=P01806 | product=skincare kit | date=2022-06-15 | rating=2/5 | sentiment=Negative | review=Product stopped working after two weeks. Disappointing.
review_id=R000104 | customer_id=C009327 | product_id=P00250 | product=novel | date=2022-06-09 | rating=3/5 | sentiment=Neutral | review=Good enough for the price. Would consider buying again.
review_id=R000105 | customer_id=C004737 | product_id=P00452 | product=novel | date=2022-01-15 | rating=5/5 | sentiment=Positive | review=Arrived ahead of schedule and in perfect condition.
review_id=R000106 | customer_id=C005315 | product_id=P00835 | product=jacket | date=2023-09-08 | rating=5/5 | sentiment=Positive | review=Arrived ahead of schedule and in perfect condition.
review_id=R000107 | customer_id=C003487 | product_id=P00239 | product=trainers | date=2022-12-14 | rating=3/5 | sentiment=Neutral | review=Average quality. Delivery took longer than expected.
review_id=R000108 | customer_id=C001056 | product_id=P00716 | product=blender | date=2022-02-28 | rating=3/5 | sentiment=Neutral | review=Product is okay. Nothing special but does the job.
review_id=R000109 | customer_id=C004769 | product_id=P00791 | product=skincare kit | date=2023-05-04 | rating=4/5 | sentiment=Positive | review=Product quality is excellent and delivery was fast.
review_id=R000110 | customer_id=C004011 | product_id=P00759 | product=coffee maker | date=2024-12-03 | rating=1/5 | sentiment=Negative | review=Misleading description. Product is much smaller than shown.
review_id=R000111 | customer_id=C000243 | product_id=P00693 | product=novel | date=2023-04-27 | rating=2/5 | sentiment=Negative | review=Would not recommend. Product broke on first use.
review_id=R000112 | customer_id=C004942 | product_id=P01229 | product=toy set | date=2022-10-25 | rating=2/5 | sentiment=Negative | review=Terrible experience. Took 3 weeks and arrived damaged.
review_id=R000113 | customer_id=C003549 | product_id=P01923 | product=toy set | date=2023-11-20 | rating=4/5 | sentiment=Positive | review=Outstanding customer service. Highly recommend.
review_id=R000114 | customer_id=C006298 | product_id=P00916 | product=watch | date=2022-03-30 | rating=2/5 | sentiment=Negative | review=Misleading description. Product is much smaller than shown.
review_id=R000115 | customer_id=C004514 | product_id=P00268 | product=novel | date=2024-01-01 | rating=1/5 | sentiment=Negative | review=Packaging was damaged but support resolved it quickly.
review_id=R000116 | customer_id=C002653 | product_id=P00850 | product=toy set | date=2023-08-22 | rating=3/5 | sentiment=Neutral | review=Product is okay. Nothing special but does the job.
review_id=R000117 | customer_id=C009327 | product_id=P01719 | product=toy set | date=2024-12-04 | rating=2/5 | sentiment=Negative | review=Packaging was damaged but support resolved it quickly.
review_id=R000118 | customer_id=C009932 | product_id=P00810 | product=novel | date=2023-08-28 | rating=4/5 | sentiment=Positive | review=Exactly what I needed. Amazing quality for the price.
review_id=R000119 | customer_id=C006813 | product_id=P00769 | product=toy set | date=2022-06-26 | rating=3/5 | sentiment=Neutral | review=Works as advertised. Not blown away but satisfied.
review_id=R000120 | customer_id=C003656 | product_id=P01542 | product=trainers | date=2022-03-29 | rating=5/5 | sentiment=Positive | review=Arrived ahead of schedule and in perfect condition.
review_id=R000121 | customer_id=C004659 | product_id=P01068 | product=blender | date=2023-06-22 | rating=2/5 | sentiment=Negative | review=Quality does not match the product images at all.
review_id=R000122 | customer_id=C008013 | product_id=P00655 | product=coffee maker | date=2024-11-03 | rating=2/5 | sentiment=Negative | review=Had to return the item. Process was a hassle.
review_id=R000123 | customer_id=C001841 | product_id=P01796 | product=headphones | date=2024-08-02 | rating=1/5 | sentiment=Negative | review=Misleading description. Product is much smaller than shown.
review_id=R000124 | customer_id=C005477 | product_id=P00641 | product=novel | date=2022-05-11 | rating=4/5 | sentiment=Positive | review=Absolutely love this item. Exceeded my expectations.
review_id=R000125 | customer_id=C003543 | product_id=P01505 | product=headphones | date=2024-11-13 | rating=2/5 | sentiment=Negative | review=Terrible experience. Took 3 weeks and arrived damaged.
review_id=R000126 | customer_id=C008346 | product_id=P01304 | product=headphones | date=2023-04-24 | rating=5/5 | sentiment=Positive | review=Absolutely love this item. Exceeded my expectations.
review_id=R000127 | customer_id=C009865 | product_id=P01985 | product=laptop | date=2024-04-30 | rating=1/5 | sentiment=Negative | review=Packaging was damaged but support resolved it quickly.
review_id=R000128 | customer_id=C007989 | product_id=P00779 | product=blender | date=2023-11-08 | rating=5/5 | sentiment=Positive | review=Exactly what I needed. Amazing quality for the price.
review_id=R000129 | customer_id=C007510 | product_id=P00054 | product=watch | date=2024-11-28 | rating=5/5 | sentiment=Positive | review=Very happy with my purchase. Top quality.
review_id=R000130 | customer_id=C007596 | product_id=P01392 | product=toy set | date=2024-11-11 | rating=5/5 | sentiment=Positive | review=Great value for money. Will definitely buy again.
review_id=R000131 | customer_id=C005700 | product_id=P01651 | product=skincare kit | date=2022-10-13 | rating=3/5 | sentiment=Neutral | review=Decent product but the packaging could be better.
review_id=R000132 | customer_id=C008617 | product_id=P00176 | product=novel | date=2023-02-04 | rating=3/5 | sentiment=Neutral | review=Average quality. Delivery took longer than expected.
review_id=R000133 | customer_id=C009850 | product_id=P00404 | product=coffee maker | date=2024-06-06 | rating=4/5 | sentiment=Positive | review=Absolutely love this item. Exceeded my expectations.
review_id=R000134 | customer_id=C005469 | product_id=P00982 | product=coffee maker | date=2023-04-11 | rating=3/5 | sentiment=Neutral | review=Reasonable quality. Neutral about overall experience.
review_id=R000135 | customer_id=C006321 | product_id=P01539 | product=headphones | date=2024-11-27 | rating=1/5 | sentiment=Negative | review=Product stopped working after two weeks. Disappointing.
review_id=R000136 | customer_id=C004850 | product_id=P01032 | product=trainers | date=2023-11-07 | rating=1/5 | sentiment=Negative | review=Very disappointed. Item was missing components.
review_id=R000137 | customer_id=C002745 | product_id=P01809 | product=headphones | date=2023-03-20 | rating=3/5 | sentiment=Neutral | review=Good enough for the price. Would consider buying again.
review_id=R000138 | customer_id=C002359 | product_id=P00006 | product=laptop | date=2022-06-02 | rating=1/5 | sentiment=Negative | review=Packaging was damaged but support resolved it quickly.
review_id=R000139 | customer_id=C000059 | product_id=P01981 | product=jacket | date=2024-07-15 | rating=1/5 | sentiment=Negative | review=Delivery was extremely late. Customer service unhelpful.
review_id=R000140 | customer_id=C008930 | product_id=P01324 | product=watch | date=2023-02-21 | rating=4/5 | sentiment=Positive | review=Very happy with my purchase. Top quality.
review_id=R000141 | customer_id=C005044 | product_id=P00584 | product=laptop | date=2024-09-22 | rating=1/5 | sentiment=Negative | review=Misleading description. Product is much smaller than shown.
review_id=R000142 | customer_id=C007027 | product_id=P00028 | product=skincare kit | date=2023-01-28 | rating=3/5 | sentiment=Neutral | review=It arrived on time. Product is functional if basic.
review_id=R000143 | customer_id=C005145 | product_id=P01422 | product=watch | date=2024-10-12 | rating=2/5 | sentiment=Negative | review=Misleading description. Product is much smaller than shown.
review_id=R000144 | customer_id=C002292 | product_id=P01932 | product=watch | date=2023-11-15 | rating=5/5 | sentiment=Positive | review=Packaging was perfect and the item works flawlessly.
review_id=R000145 | customer_id=C004316 | product_id=P00918 | product=trainers | date=2022-08-28 | rating=5/5 | sentiment=Positive | review=Very happy with my purchase. Top quality.
review_id=R000146 | customer_id=C006835 | product_id=P00276 | product=coffee maker | date=2024-07-14 | rating=5/5 | sentiment=Positive | review=Packaging was perfect and the item works flawlessly.
review_id=R000147 | customer_id=C006326 | product_id=P01816 | product=watch | date=2023-12-10 | rating=3/5 | sentiment=Neutral | review=Good enough for the price. Would consider buying again.
review_id=R000148 | customer_id=C006534 | product_id=P00797 | product=trainers | date=2023-11-07 | rating=1/5 | sentiment=Negative | review=Poor build quality. Expected much better at this price.
review_id=R000149 | customer_id=C007782 | product_id=P01511 | product=skincare kit | date=2022-11-23 | rating=1/5 | sentiment=Negative | review=Product stopped working after two weeks. Disappointing.
review_id=R000150 | customer_id=C005475 | product_id=P01079 | product=jacket | date=2024-02-21 | rating=3/5 | sentiment=Neutral | review=It arrived on time. Product is functional if basic.
review_id=R000151 | customer_id=C001547 | product_id=P01578 | product=skincare kit | date=2022-08-10 | rating=2/5 | sentiment=Negative | review=Poor build quality. Expected much better at this price.
review_id=R000152 | customer_id=C004670 | product_id=P00232 | product=laptop | date=2023-09-17 | rating=4/5 | sentiment=Positive | review=Five stars. Brilliant product and super quick delivery.
review_id=R000153 | customer_id=C007229 | product_id=P00246 | product=toy set | date=2024-11-28 | rating=2/5 | sentiment=Negative | review=Very disappointed. Item was missing components.
review_id=R000154 | customer_id=C000030 | product_id=P00184 | product=laptop | date=2022-04-27 | rating=4/5 | sentiment=Positive | review=Outstanding customer service. Highly recommend.
review_id=R000155 | customer_id=C000023 | product_id=P00840 | product=laptop | date=2022-11-26 | rating=1/5 | sentiment=Negative | review=Product stopped working after two weeks. Disappointing.
review_id=R000156 | customer_id=C000834 | product_id=P01648 | product=coffee maker | date=2024-12-02 | rating=3/5 | sentiment=Neutral | review=Product is okay. Nothing special but does the job.
review_id=R000157 | customer_id=C004116 | product_id=P01317 | product=jacket | date=2022-11-14 | rating=2/5 | sentiment=Negative | review=Delivery was extremely late. Customer service unhelpful.
review_id=R000158 | customer_id=C006793 | product_id=P00707 | product=novel | date=2023-03-03 | rating=1/5 | sentiment=Negative | review=Would not recommend. Product broke on first use.
review_id=R000159 | customer_id=C003770 | product_id=P00315 | product=laptop | date=2023-07-21 | rating=3/5 | sentiment=Neutral | review=Decent product but the packaging could be better.
review_id=R000160 | customer_id=C005852 | product_id=P00248 | product=trainers | date=2023-05-18 | rating=2/5 | sentiment=Negative | review=Delivery was extremely late. Customer service unhelpful.
review_id=R000161 | customer_id=C002873 | product_id=P01378 | product=trainers | date=2022-05-05 | rating=1/5 | sentiment=Negative | review=Poor build quality. Expected much better at this price.
review_id=R000162 | customer_id=C008234 | product_id=P01869 | product=trainers | date=2022-06-21 | rating=3/5 | sentiment=Neutral | review=Average quality. Delivery took longer than expected.
review_id=R000163 | customer_id=C001325 | product_id=P01485 | product=skincare kit | date=2023-12-29 | rating=5/5 | sentiment=Positive | review=Absolutely love this item. Exceeded my expectations.
review_id=R000164 | customer_id=C009547 | product_id=P00593 | product=novel | date=2022-01-23 | rating=1/5 | sentiment=Negative | review=Packaging was damaged but support resolved it quickly.
review_id=R000165 | customer_id=C000539 | product_id=P01070 | product=laptop | date=2022-02-01 | rating=4/5 | sentiment=Positive | review=Great value for money. Will definitely buy again.
review_id=R000166 | customer_id=C001203 | product_id=P00456 | product=laptop | date=2024-09-17 | rating=4/5 | sentiment=Positive | review=Product quality is excellent and delivery was fast.
review_id=R000167 | customer_id=C007384 | product_id=P01516 | product=watch | date=2024-04-25 | rating=2/5 | sentiment=Negative | review=Would not recommend. Product broke on first use.
review_id=R000168 | customer_id=C005900 | product_id=P01466 | product=trainers | date=2024-12-25 | rating=5/5 | sentiment=Positive | review=Product quality is excellent and delivery was fast.
review_id=R000169 | customer_id=C005887 | product_id=P00573 | product=headphones | date=2022-11-24 | rating=5/5 | sentiment=Positive | review=Five stars. Brilliant product and super quick delivery.
review_id=R000170 | customer_id=C002096 | product_id=P01597 | product=coffee maker | date=2024-12-15 | rating=3/5 | sentiment=Neutral | review=Decent product but the packaging could be better.
review_id=R000171 | customer_id=C005279 | product_id=P00098 | product=trainers | date=2023-06-13 | rating=4/5 | sentiment=Positive | review=Exactly what I needed. Amazing quality for the price.
